normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,brand_nonbrand_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,in_gsc_queries,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,gsc_total_clicks,gsc_total_impressions,gsc_weighted_ctr,gsc_best_position_guess,gsc_distinct_pages_count,gsc_possible_cannibalization_guess,gsc_top_page_guess,gsc_top_page_clicks,gsc_top_page_impressions,gsc_top_page_route_guess,gsc_top_page_type_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,seo_opportunity_type,seo_opportunity_reason,ppc_seo_overlap_guess,ppc_seo_notes,ads_priority_guess,keep_review_pause_guess,notes
behangklaar sausklaar maken,behangklaar sausklaar maken,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,31.33,1,False,https://bm-klus-bv.nl/muren-stucen/,0,3,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 3 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklaar stucen,behangklaar stucen,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,108,0.0,35.63,1,False,https://bm-klus-bv.nl/muren-stucen/,0,108,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 108 impr)",medium,low_ctr_high_impressions,"108 impr, CTR 0.0000, pos 35.6",in_gsc_only,"organic only, no ads presence",,,
behangklaar stucwerk,behangklaar stucwerk,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,0.0,37.74,1,False,https://bm-klus-bv.nl/muren-stucen/,0,68,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 68 impr)",medium,low_ctr_high_impressions,"68 impr, CTR 0.0000, pos 37.7",in_gsc_only,"organic only, no ads presence",,,
behangklaar stuken,behangklaar stuken,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0.0,29.0,1,False,https://bm-klus-bv.nl/muren-stucen/,0,2,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 2 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklaar stuukwerk,behangklaar stuukwerk,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,34.0,1,False,https://bm-klus-bv.nl/muren-stucen/,0,3,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 3 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklaar wanden,behangklaar wanden,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,0.0,52.44,1,False,https://bm-klus-bv.nl/muren-stucen/,0,18,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 18 impr)",low,weak_signal,"18 impr, pos 52.4",in_gsc_only,"organic only, no ads presence",,,
behangklare muren,behangklare muren,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,88.0,1,False,https://bm-klus-bv.nl/muren-stucen/,0,1,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklare muren sausklaar maken,behangklare muren sausklaar maken,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,42.0,1,False,https://bm-klus-bv.nl/muren-stucen/,0,1,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
behangklare wanden afwerken,behangklare wanden afwerken,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0.0,56.93,1,False,https://bm-klus-bv.nl/muren-stucen/,0,14,/muren-stucen/,service,/muren-stucen/,service,medium,"from GSC top page (0 clicks, 14 impr)",low,weak_signal,"14 impr, pos 56.9",in_gsc_only,"organic only, no ads presence",,,
besparing gevelisolatie,besparing gevelisolatie,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,71,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
best bm,best bm,other,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,7.0,1,False,https://bm-klus-bv.nl/,0,1,/,home,/,home,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
bestaande buitenmuur isoleren,bestaande buitenmuur isoleren,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,76,0.644431,1.632303,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
bestaande gevel isoleren,bestaande gevel isoleren,core_isolation,commercial_investigative,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,,none,,in_planner_only,"planner demand only, no ads or organic",,,
beste gevelisolatie,beste gevelisolatie,core_isolation,commercial,nl,NL,nonbrand,True,False,False,False,False,False,20,HIGH,100,0.844235,2.72088,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,/gevelisolatie/,service,low,broad gevelisolatie term,low,none,,in_planner_only,"planner demand only, no ads or organic",,,
beste isolatie buitenmuur,beste isolatie buitenmuur,other,commercial,nl,NL,nonbrand,True,False,False,False,False,False,10,HIGH,99,0.514033,1.320331,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,none,,in_planner_only,"planner demand only, no ads or organic",,,
betonlook stucwerk,betonlook stucwerk,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 1 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
betonstuc buiten,betonstuc buiten,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,0.0,21.69,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,29,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 29 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
betonstuc buitengevel,betonstuc buitengevel,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0.0,17.33,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,3,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 3 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
betonstuc buitenmuur,betonstuc buitenmuur,stuc_crepi,commercial_investigative,nl,NL,nonbrand,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0.0,22.0,1,False,https://bm-klus-bv.nl/buiten-stucwerk/,0,4,/buiten-stucwerk/,service,/buiten-stucwerk/,service,medium,"from GSC top page (0 clicks, 4 impr)",,none,,in_gsc_only,"organic only, no ads presence",,,
