query,normalized_query,total_clicks,total_impressions,weighted_ctr,best_position_guess,distinct_pages_count,possible_cannibalization_guess,query_intent_guess,query_theme_guess
buiten stukadoor,buiten stukadoor,0,1,0.0,3,1,False,commercial_investigative,other
buitengevel isolatiesysteem,buitengevel isolatiesysteem,0,1,0.0,28,1,False,commercial_investigative,core_isolation
buitengevel isoleren en stucen,buitengevel isoleren en stucen,0,6,0.0,28.33,1,False,commercial_investigative,stuc_crepi
buitengevel isoleren en stucen prijs,buitengevel isoleren en stucen prijs,0,19,0.0,13.47,1,False,commercial,prijs_kosten
buitengevel schilderen prijs,buitengevel schilderen prijs,0,1,0.0,26,1,False,commercial,prijs_kosten
buitengevel stucen,buitengevel stucen,0,5,0.0,42.4,1,False,commercial_investigative,stuc_crepi
buitengevel stucen kosten,buitengevel stucen kosten,0,3,0.0,3,1,False,commercial,prijs_kosten
buitengevel stucwerk,buitengevel stucwerk,0,88,0.0,31,2,False,commercial_investigative,stuc_crepi
buitengevel stucwerken,buitengevel stucwerken,0,1,0.0,39,1,False,commercial_investigative,stuc_crepi
buitengevel.nl,buitengevel.nl,0,1,0.0,96,1,False,commercial_investigative,core_isolation
buitengevelisolatie crepi,buitengevelisolatie crepi,0,1,0.0,11,1,False,commercial_investigative,stuc_crepi
buitengevelisolatie kosten,buitengevelisolatie kosten,0,12,0.0,14,2,False,commercial,prijs_kosten
buitengevelisolatie limburg,buitengevelisolatie limburg,0,1,0.0,35,1,False,commercial_investigative,core_isolation
buitengevelisolatie prijs,buitengevelisolatie prijs,0,5,0.0,13.4,1,False,commercial,prijs_kosten
buitengevelisolatie rotterdam,buitengevelisolatie rotterdam,0,135,0.0,4.29,4,True,commercial_investigative,core_isolation
buitengevelisolatie steenstrips,buitengevelisolatie steenstrips,0,1,0.0,29,1,False,commercial_investigative,steenstrips
buitengevelrenovatie,buitengevelrenovatie,0,18,0.0,38.72,1,False,commercial_investigative,core_isolation
buitenkant gevelisolatie,buitenkant gevelisolatie,0,1,0.0,33,1,False,commercial_investigative,core_isolation
buitenkant huis stucen,buitenkant huis stucen,0,2,0.0,3,1,False,commercial_investigative,stuc_crepi
buitenmuren stucen,buitenmuren stucen,0,3,0.0,22.67,1,False,commercial_investigative,stuc_crepi
buitenmuur aansmeren,buitenmuur aansmeren,0,1,0.0,2,1,False,commercial_investigative,other
buitenmuur grof stucen,buitenmuur grof stucen,0,1,0.0,18,1,False,commercial_investigative,stuc_crepi
buitenmuur isoleren en stucen,buitenmuur isoleren en stucen,0,4,0.0,24,1,False,commercial_investigative,stuc_crepi
buitenmuur laten schilderen,buitenmuur laten schilderen,0,32,0.0,62.88,1,False,commercial_investigative,stuc_crepi
buitenmuur laten stucen,buitenmuur laten stucen,0,3,0.0,3,1,False,commercial_investigative,stuc_crepi
buitenmuur pleisteren,buitenmuur pleisteren,0,1,0.0,2,1,False,commercial_investigative,stuc_crepi
buitenmuur stuc,buitenmuur stuc,0,2,0.0,47,1,False,commercial_investigative,stuc_crepi
buitenmuur stuccen,buitenmuur stuccen,0,1,0.0,5,1,False,commercial_investigative,stuc_crepi
buitenmuur stucen,buitenmuur stucen,0,131,0.0,17.58,1,False,commercial_investigative,stuc_crepi
buitenmuur stucen cement,buitenmuur stucen cement,0,3,0.0,19.33,1,False,commercial_investigative,stuc_crepi
buitenmuur stucen en isoleren,buitenmuur stucen en isoleren,0,2,0.0,48,2,False,commercial_investigative,stuc_crepi
buitenmuur stucen hornbach,buitenmuur stucen hornbach,0,1,0.0,2,1,False,commercial_investigative,stuc_crepi
buitenmuur stucen knauf,buitenmuur stucen knauf,0,2,0.0,2,1,False,commercial_investigative,stuc_crepi
buitenmuur stucen kosten,buitenmuur stucen kosten,0,135,0.0,28.78,1,False,commercial,prijs_kosten
buitenmuur stucen met cement,buitenmuur stucen met cement,0,2,0.0,3,1,False,commercial_investigative,stuc_crepi
buitenmuur stucen met isolatie,buitenmuur stucen met isolatie,0,2,0.0,2,1,False,commercial_investigative,stuc_crepi
buitenmuur stucen prijs per m2,buitenmuur stucen prijs per m2,0,6,0.0,27,1,False,commercial,prijs_kosten
buitenmuur stucen zelf doen,buitenmuur stucen zelf doen,0,1,0.0,3,1,False,commercial_investigative,stuc_crepi
buitenmuur stucwerk,buitenmuur stucwerk,0,7,0.0,60,1,False,commercial_investigative,stuc_crepi
buitenmuur verven kosten,buitenmuur verven kosten,0,2,0.0,17,1,False,commercial,prijs_kosten
buitenmuur zelf stucen,buitenmuur zelf stucen,0,1,0.0,3,1,False,commercial_investigative,stuc_crepi
buitenmuurtje stucen,buitenmuurtje stucen,0,1,0.0,20,1,False,commercial_investigative,stuc_crepi
buitenstuc,buitenstuc,0,4,0.0,3.5,1,False,commercial_investigative,stuc_crepi
buitenstuc kant en klaar,buitenstuc kant en klaar,0,2,0.0,3.5,1,False,commercial_investigative,stuc_crepi
buitenstucwerk,buitenstucwerk,0,145,0.0,58.8,1,False,commercial_investigative,stuc_crepi
buitenstucwerk prijs,buitenstucwerk prijs,0,182,0.0,36.62,1,False,commercial,prijs_kosten
bv bedrijf,bv bedrijf,0,2,0.0,6,1,False,commercial_investigative,other
capelle aan den ijssel,capelle aan den ijssel,0,1,0.0,10,1,False,commercial_investigative,other
cement stucen buitenmuur,cement stucen buitenmuur,0,6,0.0,16.33,1,False,commercial_investigative,stuc_crepi
cementgebonden stucwerk prijzen,cementgebonden stucwerk prijzen,0,2,0.0,29.5,1,False,commercial_investigative,stuc_crepi
cementstuc buiten,cementstuc buiten,0,42,0.0,23.07,1,False,commercial_investigative,stuc_crepi
crepi afwerking,crepi afwerking,0,34,0.0,18.7,2,False,commercial_investigative,stuc_crepi
crepi buitenmuur,crepi buitenmuur,0,1,0.0,48,1,False,commercial_investigative,stuc_crepi
crepi stucwerk,crepi stucwerk,0,1,0.0,14,1,False,commercial_investigative,stuc_crepi
de gevel schilder,de gevel schilder,0,1,0.0,42,1,False,commercial_investigative,stuc_crepi
decoratieve buitenstuc,decoratieve buitenstuc,0,1,0.0,5,1,False,commercial_investigative,stuc_crepi
dikte gevelisolatie,dikte gevelisolatie,0,1,0.0,13,1,False,commercial_investigative,technical_rc_dikte
dunne gevelisolatie,dunne gevelisolatie,0,1,0.0,31,1,False,commercial_investigative,core_isolation
duurzaam stucwerk expert,duurzaam stucwerk expert,0,1,0.0,82,1,False,commercial_investigative,prijs_kosten
