query,normalized_query,page,clicks,impressions,ctr,position,query_intent_guess,query_theme_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,notes
gevel schilderen en beschermen tegen weersinvloeden,gevel schilderen en beschermen tegen weersinvloeden,https://bm-klus-bv.nl/gevel-schilderen/,0,3,0,31.33,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen katwijk,gevel schilderen katwijk,https://bm-klus-bv.nl/gevel-schilderen/,0,10,0,51.5,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen katwijk,gevel schilderen katwijk,https://bm-klus-bv.nl/onze-werken/,0,1,0,78,commercial_investigative,stuc_crepi,/onze-werken/,archive,high,
gevel schilderen kosten,gevel schilderen kosten,https://bm-klus-bv.nl/gevel-schilderen/,0,28,0,59.07,commercial,prijs_kosten,/gevel-schilderen/,service,high,
gevel schilderen noordwijk,gevel schilderen noordwijk,https://bm-klus-bv.nl/gevel-schilderen/,0,44,0,47.02,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen noordwijkerhout,gevel schilderen noordwijkerhout,https://bm-klus-bv.nl/gevel-schilderen/,0,13,0,64.69,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen oegstgeest,gevel schilderen oegstgeest,https://bm-klus-bv.nl/gevel-schilderen/,0,3,0,41.33,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen prijs,gevel schilderen prijs,https://bm-klus-bv.nl/gevel-schilderen/,0,11,0,17.09,commercial,prijs_kosten,/gevel-schilderen/,service,high,
gevel schilderen rijnsburg,gevel schilderen rijnsburg,https://bm-klus-bv.nl/gevel-schilderen/,0,78,0,35.21,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel schilderen vergunning,gevel schilderen vergunning,https://bm-klus-bv.nl/gevel-schilderen/,0,1,0,46,commercial_investigative,subsidie_vergunning,/gevel-schilderen/,service,high,
gevel schilderen voor en na,gevel schilderen voor en na,https://bm-klus-bv.nl/gevel-schilderen/,0,2,0,71.5,commercial_investigative,stuc_crepi,/gevel-schilderen/,service,high,
gevel sierpleister,gevel sierpleister,https://bm-klus-bv.nl/gevelisolatie/,0,4,0,85.5,commercial_investigative,stuc_crepi,/gevelisolatie/,service,high,
gevel sierpleister,gevel sierpleister,https://bm-klus-bv.nl/sierpleister/,0,77,0,37.51,commercial_investigative,stuc_crepi,/sierpleister/,service,high,
gevel stucen kosten,gevel stucen kosten,https://bm-klus-bv.nl/buiten-stucwerk/,0,2,0,7,commercial,prijs_kosten,/buiten-stucwerk/,service,high,
gevel stucwerk,gevel stucwerk,https://bm-klus-bv.nl/buiten-stucwerk/,0,50,0,32.36,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevel verven,gevel verven,https://bm-klus-bv.nl/gevel-schilderen/,0,4,0,77,commercial_investigative,other,/gevel-schilderen/,service,high,
gevelafwerking,gevelafwerking,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,3,commercial_investigative,other,/buiten-stucwerk/,service,high,
gevelbekleding stucwerk,gevelbekleding stucwerk,https://bm-klus-bv.nl/buiten-stucwerk/,0,1,0,2,commercial_investigative,stuc_crepi,/buiten-stucwerk/,service,high,
gevelbekleding zuid holland,gevelbekleding zuid holland,https://bm-klus-bv.nl/,0,2,0,101,commercial_investigative,bekleden,/,home,high,
gevelisolatie,gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/,0,10,0,59.7,commercial_investigative,core_isolation,/gevelisolatie/,service,high,
gevelisolatie,gevelisolatie,https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,1,0,49,commercial_investigative,core_isolation,/gevelisolatie/den-haag/,city,high,
gevelisolatie 's-gravenhage,gevelisolatie 's-gravenhage,https://bm-klus-bv.nl/gevelisolatie/den-haag/,0,32,0,11.59,commercial_investigative,core_isolation,/gevelisolatie/den-haag/,city,high,
