normalized_keyword,keyword_text_raw,topic_theme_guess,intent_guess,language_guess,country_guess,in_planner_ideas,in_historical_metrics,in_ads_keywords,in_ads_search_terms,in_action_candidates,planner_avg_monthly_searches,planner_competition,planner_competition_index,planner_low_bid_eur,planner_high_bid_eur,historical_avg_monthly_searches,historical_competition,historical_competition_index,historical_low_bid_eur,historical_high_bid_eur,historical_intent_score,ads_keyword_impressions,ads_keyword_clicks,ads_keyword_cost_eur,ads_keyword_conversions,ads_keyword_match_types,ads_keyword_ad_groups,ads_keyword_statuses,ads_search_term_impressions,ads_search_term_clicks,ads_search_term_cost_eur,ads_search_term_conversions,ads_search_term_ad_groups,action_candidate_decision,action_candidate_reason,negative_watch_guess,mapped_route_guess,mapped_page_type_guess,mapping_confidence,mapping_notes,seo_priority_guess,ads_priority_guess,keep_review_pause_guess,notes
nieuwe gevel plaatsen met isolatie,nieuwe gevel plaatsen met isolatie,other,commercial_investigative,nl,NL,False,False,True,True,False,,,,,,,,,,,,1,0,0.0,0.0,"EXACT,PHRASE",Gevelisolatie - Afwerking,"ENABLED,PAUSED",1,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,low,,
nuon gevelisolatie,nuon gevelisolatie,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,71,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
offerte gevel isoleren,offerte gevel isoleren,offerte,commercial,nl,NL,True,False,False,False,False,0,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
offerte gevelisolatie,offerte gevelisolatie,offerte,commercial,nl,NL,True,False,False,False,False,10,HIGH,74,8.129721,14.037619,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
omgevingsvergunning gevelisolatie,omgevingsvergunning gevelisolatie,subsidie_vergunning,commercial_investigative,nl,NL,True,False,False,False,False,10,UNSPECIFIED,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/subsidie-vergunning/,cluster,medium,keyword contains subsidy/permit signal,,,,
opbouw gevelisolatie,opbouw gevelisolatie,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,MEDIUM,65,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
opbouw isolatie buitenmuur,opbouw isolatie buitenmuur,other,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,67,0.335524,1.903733,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
opbouw voorzetwand buitenmuur,opbouw voorzetwand buitenmuur,other,commercial_investigative,nl,NL,True,False,False,False,False,50,HIGH,89,0.214937,0.919272,,,,,,,,,,,,,,,,,,,,,False,,,,,low,,,
oude gevel isoleren,oude gevel isoleren,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,LOW,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
pavatherm isolatieplaten,pavatherm isolatieplaten,materialen,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,
piepschuim dakisolatie,piepschuim dakisolatie,materialen,commercial_investigative,nl,NL,True,False,False,False,False,30,HIGH,94,0.512786,2.49516,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,low,,,
pir buitengevelisolatie,pir buitengevelisolatie,materialen,commercial_investigative,nl,NL,True,False,True,True,True,20,HIGH,100,0.590658,1.56959,,,,,,,3,2,2.54,0.0,"EXACT,PHRASE",Gevelisolatie - Materialen,ENABLED,2,1,0.9,0.0,Gevelisolatie - Materialen,cleanup,enabled but 0 impressions,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,low,low,cleanup,
pir gevelisolatie,pir gevelisolatie,materialen,commercial_investigative,nl,NL,True,False,True,True,True,50,HIGH,99,0.423763,1.619534,,,,,,,3,0,0.0,0.0,"EXACT,PHRASE",Gevelisolatie - Materialen,ENABLED,2,0,0.0,0.0,Gevelisolatie - Materialen,cleanup,enabled but 0 impressions,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,low,low,cleanup,
pir isolatie buitengevel,pir isolatie buitengevel,materialen,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.0,0.0,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,,,,
pir platen bevestigen buitenmuur,pir platen bevestigen buitenmuur,materialen,commercial_investigative,nl,NL,True,False,False,False,False,90,HIGH,99,0.272617,2.027478,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,low,,,
pir platen buitengevel,pir platen buitengevel,materialen,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,100,0.316821,2.348507,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,,,,
pir platen buitenmuur,pir platen buitenmuur,materialen,commercial_investigative,nl,NL,True,False,False,False,False,30,HIGH,100,0.421193,1.904765,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,low,,,
pir platen met steenstrips,pir platen met steenstrips,materialen,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,1,1,0.96,0.0,Gevelisolatie - Afwerking,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,,,,
pir platen tegen buitenmuur,pir platen tegen buitenmuur,materialen,commercial_investigative,nl,NL,True,False,False,False,False,10,HIGH,88,0.269634,1.023512,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/materialen/,cluster,medium,keyword contains material signal,,,,
pluimers gevelisolatie,pluimers gevelisolatie,core_isolation,commercial_investigative,nl,NL,True,False,False,False,False,10,MEDIUM,49,1.031007,3.936563,,,,,,,,,,,,,,,,,,,,,False,/gevelisolatie/,service,low,broad gevelisolatie term,,,,
polystuc,polystuc,stuc_crepi,commercial_investigative,nl,NL,False,False,False,True,False,,,,,,,,,,,,,,,,,,,4,0,0.0,0.0,Gevelisolatie - Afwerking,,,False,,,,,,,,
