keyword,match_type,ad_group,status,healthy_impr,healthy_clicks,healthy_cost,healthy_conv,bad_impr,bad_clicks,bad_cost,bad_conv,recovery_impr,recovery_clicks,recovery_cost,recovery_conv
buitengevelisolatie subsidie,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie subsidie,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie systemen,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitengevelisolatie systemen,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenisolatie huis,EXACT,Gevelisolatie - Core,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenisolatie huis,PHRASE,Gevelisolatie - Core,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isolatie aanbrengen,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isolatie aanbrengen,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren,EXACT,Gevelisolatie - Core,ENABLED,29,9,6.33,0.0,24,5,4.24,0.0,33,4,7.52,0.0
buitenmuur isoleren,PHRASE,Gevelisolatie - Core,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren aan buitenkant,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren aan buitenkant,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren buitenkant,EXACT,Gevelisolatie - Core,ENABLED,8,1,5.1,1.0,7,1,0.62,0.0,11,2,1.47,0.0
buitenmuur isoleren buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren en stucen,EXACT,Gevelisolatie - Afwerking,ENABLED,2,1,0.74,0.0,10,3,2.73,0.0,10,3,1.91,0.0
buitenmuur isoleren en stucen,PHRASE,Gevelisolatie - Afwerking,ENABLED,29,13,9.99,0.0,64,9,10.27,0.0,85,13,23.47,0.0
buitenmuur isoleren kosten,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren kosten,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren offerte,EXACT,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren offerte,PHRASE,Gevelisolatie - Offerte,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren prijs,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren prijs,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren prijs per m2,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuur isoleren prijs per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuurisolatie langs de buitengevel,EXACT,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
buitenmuurisolatie langs de buitengevel,PHRASE,Gevelisolatie - Materialen,PAUSED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
dikte gevelisolatie,EXACT,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
dikte gevelisolatie,PHRASE,Gevelisolatie - Technisch,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
dunne buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
